date,rr_shock
1969-03-04,-0.17
1969-04-01,0.08
1969-06-24,0.22
1969-08-12,-0.09
1969-10-07,-0.25
1969-12-16,0.05
1970-01-15,-0.38
1970-03-10,-0.50
1970-05-05,-0.25
1970-06-23,-0.15
1971-02-09,-0.13
1971-05-11,0.06
1972-01-11,0.10
1972-03-21,0.18
1972-10-17,0.25
1973-01-16,0.31
1973-02-13,0.12
1973-05-15,0.44
1973-06-19,0.38
1973-08-21,0.70
1974-02-20,-0.15
1974-05-21,-0.18
1974-10-15,-0.50
1975-01-21,-0.44
1975-03-18,-0.25
1975-05-20,-0.13
1976-01-20,0.04
1976-11-16,0.02
1977-05-17,0.11
1977-09-20,0.22
1978-01-17,0.15
1978-05-16,0.30
1978-07-18,0.18
1978-10-17,0.42
1979-02-06,0.10
1979-04-17,0.25
1979-07-11,0.08
1979-10-06,0.75
1980-02-05,0.50
1980-05-20,-0.86
1980-07-09,-0.42
1980-09-16,0.25
1980-11-18,0.50
1981-02-03,0.18
1981-05-18,-0.25
1981-10-06,-0.50
1982-01-09,-0.44
1982-07-01,-0.38
1982-10-05,-0.25
1983-05-24,0.09
1983-08-23,0.13
1984-02-08,0.05
1984-07-17,-0.05
1984-10-02,-0.12
1985-02-13,-0.06
1985-07-10,-0.03
1986-02-12,-0.15
1986-07-09,-0.08
1987-05-19,0.05
1987-09-22,0.12
1988-02-10,0.15
1988-05-17,0.18
1988-08-16,0.06
1988-11-01,0.13
1989-02-08,0.05
1989-05-16,-0.08
1989-07-06,-0.12
1989-10-03,-0.19
1990-07-03,-0.13
1990-10-02,-0.18
1990-12-18,-0.25
1991-02-06,-0.25
1991-04-30,-0.13
1991-08-20,-0.13
1992-04-09,-0.13
1992-07-01,-0.25
1993-05-18,-0.01
1994-02-04,0.25
1994-03-22,0.12
1994-05-17,0.25
1994-08-16,0.25
1994-11-15,0.38
1995-02-01,0.04
1995-07-06,-0.12
1996-01-31,-0.12
1997-03-25,0.12
1998-09-29,-0.25
1998-10-15,-0.15
1998-11-17,-0.12
1999-06-30,0.12
1999-08-24,0.08
1999-11-16,0.12
2000-02-02,0.10
2000-03-21,0.15
2000-05-16,0.25
2001-01-03,-0.42
2001-01-31,-0.25
2001-03-20,-0.25
2001-04-18,-0.20
2001-05-15,-0.13
2001-06-27,-0.12
2001-08-21,-0.12
2001-09-17,-0.25
2001-10-02,-0.13
2001-11-06,-0.25
2001-12-11,-0.12
2002-11-06,-0.25
2003-06-25,-0.12
2004-06-30,0.12
2004-08-10,0.12
2004-09-21,0.08
2004-11-10,0.12
2004-12-14,0.10
